ModelType,Background_t123,Background_t21,Alternate_t123,Alternate_t23
Ancestral structure,0.4,0.2,1.8,0.4
Ancestral structure,0.4,0.2,2,0.4
Ancestral structure,0.6,0.2,0.8,0.6
Ancestral structure,0.6,0.2,1,0.6
Ancestral structure,0.6,0.2,1.2,0.6
Ancestral structure,0.6,0.2,1.4,0.6
Ancestral structure,0.6,0.2,1.6,0.6
Ancestral structure,0.6,0.2,1.8,0.6
Ancestral structure,0.6,0.2,2,0.6
Ancestral structure,0.8,0.2,1,0.8
Ancestral structure,0.8,0.2,1.2,0.8
Ancestral structure,0.8,0.2,1.4,0.8
Ancestral structure,0.8,0.2,1.6,0.8
Ancestral structure,0.8,0.2,1.8,0.8
Ancestral structure,0.8,0.2,2,0.8
Ancestral structure,1,0.2,1.2,1
Ancestral structure,1,0.2,1.4,1
Ancestral structure,1,0.2,1.6,1
Ancestral structure,1,0.2,1.8,1
Ancestral structure,1,0.2,2,1
Ancestral structure,1.2,0.2,1.4,1.2
Ancestral structure,1.2,0.2,1.6,1.2
Ancestral structure,1.2,0.2,1.8,1.2
Ancestral structure,1.2,0.2,2,1.2
Ancestral structure,1.4,0.2,1.6,1.4
Ancestral structure,1.4,0.2,1.8,1.4
Ancestral structure,1.4,0.2,2,1.4
Ancestral structure,1.6,0.2,1.8,1.6
Ancestral structure,1.6,0.2,2,1.6
Ancestral structure,1.8,0.2,2,1.8
Ancestral structure,0.6,0.4,0.8,0.6
Ancestral structure,0.6,0.4,1,0.6
Ancestral structure,0.6,0.4,1.2,0.6
Ancestral structure,0.6,0.4,1.4,0.6
Ancestral structure,0.6,0.4,1.6,0.6
Ancestral structure,0.6,0.4,1.8,0.6
Ancestral structure,0.6,0.4,2,0.6
Ancestral structure,0.8,0.4,1,0.8
Ancestral structure,0.8,0.4,1.2,0.8
Ancestral structure,0.8,0.4,1.4,0.8
Ancestral structure,0.8,0.4,1.6,0.8
Ancestral structure,0.8,0.4,1.8,0.8
Ancestral structure,0.8,0.4,2,0.8
Ancestral structure,1,0.4,1.2,1
Ancestral structure,1,0.4,1.4,1
Ancestral structure,1,0.4,1.6,1
Ancestral structure,1,0.4,1.8,1
Ancestral structure,1,0.4,2,1
Ancestral structure,1.2,0.4,1.4,1.2
Ancestral structure,1.2,0.4,1.6,1.2
Ancestral structure,1.2,0.4,1.8,1.2
Ancestral structure,1.2,0.4,2,1.2
Ancestral structure,1.4,0.4,1.6,1.4
Ancestral structure,1.4,0.4,1.8,1.4
Ancestral structure,1.4,0.4,2,1.4
Ancestral structure,1.6,0.4,1.8,1.6
Ancestral structure,1.6,0.4,2,1.6
Ancestral structure,1.8,0.4,2,1.8
Ancestral structure,0.8,0.6,1,0.8
Ancestral structure,0.8,0.6,1.2,0.8
Ancestral structure,0.8,0.6,1.4,0.8
Ancestral structure,0.8,0.6,1.6,0.8
Ancestral structure,0.8,0.6,1.8,0.8
Ancestral structure,0.8,0.6,2,0.8
Ancestral structure,1,0.6,1.2,1
Ancestral structure,1,0.6,1.4,1
Ancestral structure,1,0.6,1.6,1
Ancestral structure,1,0.6,1.8,1
