"Background_t123"	"Background_t21"	"File"	"Windows"	"Stat"	"Stat.Mean"	"Stat.SD"	"Dpos"	"DposOutlier"	"ModelType"
"1.0"	"0.6"	"Background_t123-1.0_t21-0.6.10000.sg.csv"	10000	"fdD0"	5.18816751088822	6.27532288633288	5010	1000	"Null model"
"1.0"	"0.8"	"Background_t123-1.0_t21-0.8.10000.sg.csv"	10000	"D"	0.776426142002416	57.8601247364428	5094	1000	"Null model"
"1.0"	"0.8"	"Background_t123-1.0_t21-0.8.10000.sg.csv"	10000	"fGD0"	12.5170183694444	13.5942327975413	5094	1000	"Null model"
"1.0"	"0.8"	"Background_t123-1.0_t21-0.8.10000.sg.csv"	10000	"fhomD0"	11.5899703237966	11.7572667039571	5094	1000	"Null model"
"1.0"	"0.8"	"Background_t123-1.0_t21-0.8.10000.sg.csv"	10000	"fdD0"	7.05495568692776	7.49745491517337	5094	1000	"Null model"
"1.2"	"0.2"	"Background_t123-1.2_t21-0.2.10000.sg.csv"	10000	"D"	0.119978856081417	53.8408776890313	5094	1000	"Null model"
"1.2"	"0.2"	"Background_t123-1.2_t21-0.2.10000.sg.csv"	10000	"fGD0"	2.46963946980565	3.95520298616465	5094	1000	"Null model"
"1.2"	"0.2"	"Background_t123-1.2_t21-0.2.10000.sg.csv"	10000	"fhomD0"	2.30612899121123	3.68404211302391	5094	1000	"Null model"
"1.2"	"0.2"	"Background_t123-1.2_t21-0.2.10000.sg.csv"	10000	"fdD0"	1.85227373091873	2.87656551673356	5094	1000	"Null model"
"1.2"	"0.4"	"Background_t123-1.2_t21-0.4.10000.sg.csv"	10000	"D"	1.05216307580953	55.7039432757922	5115	1000	"Null model"
"1.2"	"0.4"	"Background_t123-1.2_t21-0.4.10000.sg.csv"	10000	"fGD0"	3.82757909332551	5.6258571528668	5115	1000	"Null model"
"1.2"	"0.4"	"Background_t123-1.2_t21-0.4.10000.sg.csv"	10000	"fhomD0"	3.59247868568328	5.26145165720191	5115	1000	"Null model"
"1.2"	"0.4"	"Background_t123-1.2_t21-0.4.10000.sg.csv"	10000	"fdD0"	2.58343121805963	3.72375017600293	5115	1000	"Null model"
"1.2"	"0.6"	"Background_t123-1.2_t21-0.6.10000.sg.csv"	10000	"D"	-0.331814680831967	56.4601849327609	5032	1000	"Null model"
"1.2"	"0.6"	"Background_t123-1.2_t21-0.6.10000.sg.csv"	10000	"fGD0"	5.42422973622417	7.11665742018914	5032	1000	"Null model"
"1.2"	"0.6"	"Background_t123-1.2_t21-0.6.10000.sg.csv"	10000	"fhomD0"	5.0903968672496	6.68442674023564	5032	1000	"Null model"
"1.2"	"0.6"	"Background_t123-1.2_t21-0.6.10000.sg.csv"	10000	"fdD0"	3.35817371567766	4.41542390907876	5032	1000	"Null model"
"1.2"	"0.8"	"Background_t123-1.2_t21-0.8.10000.sg.csv"	10000	"D"	-0.440641275906452	57.1795447132277	4977	1000	"Null model"
"1.2"	"0.8"	"Background_t123-1.2_t21-0.8.10000.sg.csv"	10000	"fGD0"	7.65635807278059	8.92500310743161	4977	1000	"Null model"
"1.2"	"0.8"	"Background_t123-1.2_t21-0.8.10000.sg.csv"	10000	"fhomD0"	7.23017060441471	8.41589775383041	4977	1000	"Null model"
"1.2"	"0.8"	"Background_t123-1.2_t21-0.8.10000.sg.csv"	10000	"fdD0"	4.48369686704923	5.33373747781657	4977	1000	"Null model"
"1.2"	"1.0"	"Background_t123-1.2_t21-1.0.10000.sg.csv"	10000	"D"	-1.33910405359704	58.0450694808452	4906	1000	"Null model"
"1.2"	"1.0"	"Background_t123-1.2_t21-1.0.10000.sg.csv"	10000	"fGD0"	11.1184117388748	11.3636750812802	4906	1000	"Null model"
"1.2"	"1.0"	"Background_t123-1.2_t21-1.0.10000.sg.csv"	10000	"fhomD0"	10.4817356803526	10.7217524738505	4906	1000	"Null model"
"1.2"	"1.0"	"Background_t123-1.2_t21-1.0.10000.sg.csv"	10000	"fdD0"	6.25587311174888	6.74677107244294	4906	1000	"Null model"
"1.4"	"0.2"	"Background_t123-1.4_t21-0.2.10000.sg.csv"	10000	"D"	0.120304101932946	53.9764712739701	5070	1000	"Null model"
"1.4"	"0.2"	"Background_t123-1.4_t21-0.2.10000.sg.csv"	10000	"fGD0"	1.65629973577515	2.54614604237138	5070	1000	"Null model"
"1.4"	"0.2"	"Background_t123-1.4_t21-0.2.10000.sg.csv"	10000	"fhomD0"	1.56669803791124	2.40631992372656	5070	1000	"Null model"
"1.4"	"0.2"	"Background_t123-1.4_t21-0.2.10000.sg.csv"	10000	"fdD0"	1.27561611338856	1.85214549994192	5070	1000	"Null model"
"1.4"	"0.4"	"Background_t123-1.4_t21-0.4.10000.sg.csv"	10000	"D"	1.09156774945343	56.5075533440817	5166	1000	"Null model"
"1.4"	"0.4"	"Background_t123-1.4_t21-0.4.10000.sg.csv"	10000	"fGD0"	2.65020745993709	4.17161461076169	5166	1000	"Null model"
"1.4"	"0.4"	"Background_t123-1.4_t21-0.4.10000.sg.csv"	10000	"fhomD0"	2.52034972926984	3.975409956287	5166	1000	"Null model"
"1.4"	"0.4"	"Background_t123-1.4_t21-0.4.10000.sg.csv"	10000	"fdD0"	1.86008976452207	2.85703112352435	5166	1000	"Null model"
"1.4"	"0.6"	"Background_t123-1.4_t21-0.6.10000.sg.csv"	10000	"D"	0.742029215103387	56.1712333990183	5102	1000	"Null model"
"1.4"	"0.6"	"Background_t123-1.4_t21-0.6.10000.sg.csv"	10000	"fGD0"	3.61985459172481	5.12654323947179	5102	1000	"Null model"
"1.4"	"0.6"	"Background_t123-1.4_t21-0.6.10000.sg.csv"	10000	"fhomD0"	3.44251009375735	4.89352021845764	5102	1000	"Null model"
"1.4"	"0.6"	"Background_t123-1.4_t21-0.6.10000.sg.csv"	10000	"fdD0"	2.34269327077029	3.29541775126912	5102	1000	"Null model"
"1.4"	"0.8"	"Background_t123-1.4_t21-0.8.10000.sg.csv"	10000	"D"	-0.121740426221423	57.0859731222629	5016	1000	"Null model"
"1.4"	"0.8"	"Background_t123-1.4_t21-0.8.10000.sg.csv"	10000	"fGD0"	5.31856590794079	7.02739311465204	5016	1000	"Null model"
"1.4"	"0.8"	"Background_t123-1.4_t21-0.8.10000.sg.csv"	10000	"fhomD0"	5.05073755097967	6.67515805185584	5016	1000	"Null model"
"1.4"	"0.8"	"Background_t123-1.4_t21-0.8.10000.sg.csv"	10000	"fdD0"	3.22125998045833	4.27913747791915	5016	1000	"Null model"
"1.4"	"1.0"	"Background_t123-1.4_t21-1.0.10000.sg.csv"	10000	"D"	0.948242660294138	56.8176164318434	5129	1000	"Null model"
"1.4"	"1.0"	"Background_t123-1.4_t21-1.0.10000.sg.csv"	10000	"fGD0"	7.02846947180542	8.2310365479796	5129	1000	"Null model"
"1.4"	"1.0"	"Background_t123-1.4_t21-1.0.10000.sg.csv"	10000	"fhomD0"	6.70141053540651	7.85604531952718	5129	1000	"Null model"
"1.4"	"1.0"	"Background_t123-1.4_t21-1.0.10000.sg.csv"	10000	"fdD0"	4.07012959957731	4.89238288140582	5129	1000	"Null model"
