"Background_t123"	"Background_t21"	"Variable"	"File"	"Windows"	"Model"	"Mean"	"SD"	"SE"	"t.mean.diff"	"t.p.two.tailed"	"t.p.background.higher"	"t.p.background.lower"	"w.mean.diff"	"w.p.two.tailed"	"w.p.background.higher"	"w.p.background.lower"	"ModelType"
"0.4"	"0.2"	"P1P2_dxy"	"Background_t123-0.4_t21-0.2.10000.sg.csv"	10000	"D_Background"	0.0139202203703704	0.00449531772399185	4.73848093797946e-05	"-4.84574074074064e-05"	"0.770408257075144"	"0.614795871462428"	"0.385204128537572"	"6.3659353990882e-05"	"0.663088826830585"	"0.331544413415292"	"0.668459775905601"	"Null model"
"0.4"	"0.2"	"P1P2_dxy"	"Background_t123-0.4_t21-0.2.10000.sg.csv"	10000	"D_Outlier"	0.0139686777777778	0.00503105162571247	0.000159095821631443	"-4.84574074074064e-05"	"0.770408257075144"	"0.614795871462428"	"0.385204128537572"	"6.3659353990882e-05"	"0.663088826830585"	"0.331544413415292"	"0.668459775905601"	"Null model"
"0.4"	"0.2"	"P1P3_dxy"	"Background_t123-0.4_t21-0.2.10000.sg.csv"	10000	"D_Background"	0.0175597166666667	0.00482858421048004	5.08977465968093e-05	"-0.00218430555555556"	"5.92874475390649e-27"	"1"	"2.96437237695324e-27"	"-0.00194367378949667"	"1.31910283026005e-28"	"1"	"6.59551415130023e-29"	"Null model"
"0.4"	"0.2"	"P1P3_dxy"	"Background_t123-0.4_t21-0.2.10000.sg.csv"	10000	"D_Outlier"	0.0197440222222222	0.00605223107024131	0.000191388351076011	"-0.00218430555555556"	"5.92874475390649e-27"	"1"	"2.96437237695324e-27"	"-0.00194367378949667"	"1.31910283026005e-28"	"1"	"6.59551415130023e-29"	"Null model"
"0.4"	"0.2"	"P2P3_dxy"	"Background_t123-0.4_t21-0.2.10000.sg.csv"	10000	"D_Background"	0.0180038969135802	0.00500270652259422	5.27331569225944e-05	"0.00213613024691358"	"3.94610146435163e-33"	"1.97305073217581e-33"	"1"	"0.00231750741965773"	"2.86387271246828e-49"	"1.43193635623414e-49"	"1"	"Null model"
"0.4"	"0.2"	"P2P3_dxy"	"Background_t123-0.4_t21-0.2.10000.sg.csv"	10000	"D_Outlier"	0.0158677666666667	0.00520543587976813	0.000164610335940297	"0.00213613024691358"	"3.94610146435163e-33"	"1.97305073217581e-33"	"1"	"0.00231750741965773"	"2.86387271246828e-49"	"1.43193635623414e-49"	"1"	"Null model"
"0.4"	"0.2"	"P1P2_dxy"	"Background_t123-0.4_t21-0.2.10000.sg.csv"	10000	"fGD0_Background"	0.0135996419753086	0.0044148045048599	4.65361255324306e-05	"-0.00325424135802469"	"1.54417537691829e-82"	"1"	"7.72087688459143e-83"	"-0.00320259388858059"	"3.96017140503801e-102"	"1"	"1.98008570251901e-102"	"Null model"
"0.4"	"0.2"	"P1P2_dxy"	"Background_t123-0.4_t21-0.2.10000.sg.csv"	10000	"fGD0_Outlier"	0.0168538833333333	0.00471541785510398	0.000149114605415544	"-0.00325424135802469"	"1.54417537691829e-82"	"1"	"7.72087688459143e-83"	"-0.00320259388858059"	"3.96017140503801e-102"	"1"	"1.98008570251901e-102"	"Null model"
"0.4"	"0.2"	"P1P3_dxy"	"Background_t123-0.4_t21-0.2.10000.sg.csv"	10000	"fGD0_Background"	0.0175770858024691	0.00497183758304222	5.24077697294666e-05	"-0.00201061419753086"	"3.66063959249114e-32"	"1"	"1.83031979624557e-32"	"-0.00204704527333498"	"4.63127991970288e-38"	"1"	"2.31563995985144e-38"	"Null model"
"0.4"	"0.2"	"P1P3_dxy"	"Background_t123-0.4_t21-0.2.10000.sg.csv"	10000	"fGD0_Outlier"	0.0195877	0.00496378710868643	0.000156968730836309	"-0.00201061419753086"	"3.66063959249114e-32"	"1"	"1.83031979624557e-32"	"-0.00204704527333498"	"4.63127991970288e-38"	"1"	"2.31563995985144e-38"	"Null model"
"0.4"	"0.2"	"P2P3_dxy"	"Background_t123-0.4_t21-0.2.10000.sg.csv"	10000	"fGD0_Background"	0.0180763709876543	0.00511055613603622	5.38699916667459e-05	"0.00286087098765432"	"8.78048082907408e-93"	"4.39024041453704e-93"	"1"	"0.00254976964308341"	"2.22943852412515e-72"	"1.11471926206257e-72"	"1"	"Null model"
"0.4"	"0.2"	"P2P3_dxy"	"Background_t123-0.4_t21-0.2.10000.sg.csv"	10000	"fGD0_Outlier"	0.0152155	0.00374283115813259	0.000118358713571448	"0.00286087098765432"	"8.78048082907408e-93"	"4.39024041453704e-93"	"1"	"0.00254976964308341"	"2.22943852412515e-72"	"1.11471926206257e-72"	"1"	"Null model"
"0.4"	"0.2"	"P1P2_dxy"	"Background_t123-0.4_t21-0.2.10000.sg.csv"	10000	"fhomD0_Background"	0.0135678697530864	0.00439472991035821	4.63245207266651e-05	"-0.00357196358024692"	"1.19964232174396e-97"	"1"	"5.99821160871978e-98"	"-0.00360619088897285"	"9.86986391705866e-124"	"1"	"4.93493195852933e-124"	"Null model"
"0.4"	"0.2"	"P1P2_dxy"	"Background_t123-0.4_t21-0.2.10000.sg.csv"	10000	"fhomD0_Outlier"	0.0171398333333333	0.0046769974361743	0.000147899645090788	"-0.00357196358024692"	"1.19964232174396e-97"	"1"	"5.99821160871978e-98"	"-0.00360619088897285"	"9.86986391705866e-124"	"1"	"4.93493195852933e-124"	"Null model"
"0.4"	"0.2"	"P1P3_dxy"	"Background_t123-0.4_t21-0.2.10000.sg.csv"	10000	"fhomD0_Background"	0.0175424802469136	0.00494961599666735	5.2173533642244e-05	"-0.00235666975308642"	"7.00659226958802e-42"	"1"	"3.50329613479401e-42"	"-0.00243026109028091"	"5.54696349831162e-51"	"1"	"2.77348174915581e-51"	"Null model"
"0.4"	"0.2"	"P1P3_dxy"	"Background_t123-0.4_t21-0.2.10000.sg.csv"	10000	"fhomD0_Outlier"	0.01989915	0.00502629384238587	0.000158945367312187	"-0.00235666975308642"	"7.00659226958802e-42"	"1"	"3.50329613479401e-42"	"-0.00243026109028091"	"5.54696349831162e-51"	"1"	"2.77348174915581e-51"	"Null model"
"0.4"	"0.2"	"P2P3_dxy"	"Background_t123-0.4_t21-0.2.10000.sg.csv"	10000	"fhomD0_Background"	0.0180784228395062	0.0051102904768909	5.38671913734777e-05	"0.00288138950617284"	"2.49448342698475e-94"	"1.24724171349238e-94"	"1"	"0.00254823898738394"	"1.35428049029946e-71"	"6.77140245149728e-72"	"1"	"Null model"
"0.4"	"0.2"	"P2P3_dxy"	"Background_t123-0.4_t21-0.2.10000.sg.csv"	10000	"fhomD0_Outlier"	0.0151970333333333	0.00373190268060329	0.000118013124767943	"0.00288138950617284"	"2.49448342698475e-94"	"1.24724171349238e-94"	"1"	"0.00254823898738394"	"1.35428049029946e-71"	"6.77140245149728e-72"	"1"	"Null model"
"0.4"	"0.2"	"P1P2_dxy"	"Background_t123-0.4_t21-0.2.10000.sg.csv"	10000	"fdD0_Background"	0.0135480450617284	0.00440148507722054	4.639572643753e-05	"-0.00377021049382716"	"4.7932821454167e-114"	"1"	"2.39664107270835e-114"	"-0.00380139319123149"	"6.56128194544543e-142"	"1"	"3.28064097272272e-142"	"Null model"
"0.4"	"0.2"	"P1P2_dxy"	"Background_t123-0.4_t21-0.2.10000.sg.csv"	10000	"fdD0_Outlier"	0.0173182555555556	0.00447523538491467	0.000141519368817107	"-0.00377021049382716"	"4.7932821454167e-114"	"1"	"2.39664107270835e-114"	"-0.00380139319123149"	"6.56128194544543e-142"	"1"	"3.28064097272272e-142"	"Null model"
"0.4"	"0.2"	"P1P3_dxy"	"Background_t123-0.4_t21-0.2.10000.sg.csv"	10000	"fdD0_Background"	0.0174596061728395	0.00487926044154172	5.1431920974769e-05	"-0.00318541049382716"	"9.65683129715448e-67"	"1"	"4.82841564857724e-67"	"-0.00316760726218622"	"4.75542727205808e-82"	"1"	"2.37771363602904e-82"	"Null model"
"0.4"	"0.2"	"P1P3_dxy"	"Background_t123-0.4_t21-0.2.10000.sg.csv"	10000	"fdD0_Outlier"	0.0206450166666667	0.00523020279414706	0.000165393534540815	"-0.00318541049382716"	"9.65683129715448e-67"	"1"	"4.82841564857724e-67"	"-0.00316760726218622"	"4.75542727205808e-82"	"1"	"2.37771363602904e-82"	"Null model"
"0.4"	"0.2"	"P2P3_dxy"	"Background_t123-0.4_t21-0.2.10000.sg.csv"	10000	"fdD0_Background"	0.0180332160493827	0.00509882240595926	5.37463072917698e-05	"0.00242932160493827"	"6.40512671756163e-60"	"3.20256335878082e-60"	"1"	"0.00221454088869396"	"1.3213605235562e-52"	"6.60680261778098e-53"	"1"	"Null model"
"0.4"	"0.2"	"P2P3_dxy"	"Background_t123-0.4_t21-0.2.10000.sg.csv"	10000	"fdD0_Outlier"	0.0156038944444444	0.00414060736729286	0.000130937501771188	"0.00242932160493827"	"6.40512671756163e-60"	"3.20256335878082e-60"	"1"	"0.00221454088869396"	"1.3213605235562e-52"	"6.60680261778098e-53"	"1"	"Null model"
"0.6"	"0.2"	"P1P2_dxy"	"Background_t123-0.6_t21-0.2.10000.sg.csv"	10000	"D_Background"	0.0138249648148148	0.00439683505294018	4.634671087786e-05	"7.62037037037051e-05"	"0.653116245563845"	"0.326558122781922"	"0.673441877218078"	"0.000343080276561351"	"0.034671778772597"	"0.0173358893862985"	"0.982664605608626"	"Null model"
"0.6"	"0.2"	"P1P2_dxy"	"Background_t123-0.6_t21-0.2.10000.sg.csv"	10000	"D_Outlier"	0.0137487611111111	0.00515612146181526	0.000163050877118131	"7.62037037037051e-05"	"0.653116245563845"	"0.326558122781922"	"0.673441877218078"	"0.000343080276561351"	"0.034671778772597"	"0.0173358893862985"	"0.982664605608626"	"Null model"
"0.6"	"0.2"	"P1P3_dxy"	"Background_t123-0.6_t21-0.2.10000.sg.csv"	10000	"D_Background"	0.0214506469135802	0.00518139387771221	5.46166870267418e-05	"-0.00146522530864198"	"2.30996554308346e-13"	"0.999999999999885"	"1.15498277154173e-13"	"-0.00125025206862856"	"1.64794800741773e-12"	"0.999999999999176"	"8.23974003708864e-13"	"Null model"
"0.6"	"0.2"	"P1P3_dxy"	"Background_t123-0.6_t21-0.2.10000.sg.csv"	10000	"D_Outlier"	0.0229158722222222	0.00600440256404481	0.000189875880909366	"-0.00146522530864198"	"2.30996554308346e-13"	"0.999999999999885"	"1.15498277154173e-13"	"-0.00125025206862856"	"1.64794800741773e-12"	"0.999999999999176"	"8.23974003708864e-13"	"Null model"
"0.6"	"0.2"	"P2P3_dxy"	"Background_t123-0.6_t21-0.2.10000.sg.csv"	10000	"D_Background"	0.0217362462962963	0.005265715412627	5.55055140471823e-05	"0.00156557962962963"	"1.98921163129823e-17"	"9.94605815649115e-18"	"1"	"0.001711381174798"	"4.11702740720264e-25"	"2.05851370360132e-25"	"1"	"Null model"
"0.6"	"0.2"	"P2P3_dxy"	"Background_t123-0.6_t21-0.2.10000.sg.csv"	10000	"D_Outlier"	0.0201706666666667	0.00546579582929186	0.000172843640460111	"0.00156557962962963"	"1.98921163129823e-17"	"9.94605815649115e-18"	"1"	"0.001711381174798"	"4.11702740720264e-25"	"2.05851370360132e-25"	"1"	"Null model"
"0.6"	"0.2"	"P1P2_dxy"	"Background_t123-0.6_t21-0.2.10000.sg.csv"	10000	"fGD0_Background"	0.0133821259259259	0.00425308003798247	4.48313999700669e-05	"-0.00435218518518518"	"1.42032732564054e-139"	"1"	"7.10163662820272e-140"	"-0.00436596678991946"	"7.44308412064123e-177"	"1"	"3.72154206032062e-177"	"Null model"
"0.6"	"0.2"	"P1P2_dxy"	"Background_t123-0.6_t21-0.2.10000.sg.csv"	10000	"fGD0_Outlier"	0.0177343111111111	0.00455275379357183	0.00014397071613659	"-0.00435218518518518"	"1.42032732564054e-139"	"1"	"7.10163662820272e-140"	"-0.00436596678991946"	"7.44308412064123e-177"	"1"	"3.72154206032062e-177"	"Null model"
"0.6"	"0.2"	"P1P3_dxy"	"Background_t123-0.6_t21-0.2.10000.sg.csv"	10000	"fGD0_Background"	0.0214254938271605	0.00525638010644747	5.54071112799077e-05	"-0.00171675617283951"	"1.81189949664853e-21"	"1"	"9.05949748324267e-22"	"-0.00167311012751808"	"1.04445544828781e-24"	"1"	"5.22227724143907e-25"	"Null model"
